name,surname,phone,email
Laura,Bignami,+39 5501 19492086,rlancisi@poste.it
Bruno,Pertile,+39 814 3845873,ritaroero@fastwebnet.it
Graziella,Agazzi,+39 640 8149537,arturo87@nadi.net
Gemma,Lucchesi,+39 1715 01599547,ottonevalmarana@goldstein.com
Ruggero,Stoppani,+39 1070 5733536,cianifausto@hotmail.it
Marcantonio,Caetani,+39 1621 43474625,gcicala@libero.it
Gioele,Tirabassi,+39 270 83272519,elenavespucci@brunello.org
Gianna,Taliercio,+39 95 6458847,alina92@pizzetti.com
Ciro,Grimani,+39 1105 58545817,qgiovine@mazzanti.com
Annibale,Ficino,+39 320 13349793,tinatrincavelli@outlook.com
Gelsomina,Tartaglia,+39 827 0064903,usoderini@hotmail.com
Lisa,Longhena,+39 633 89 99 8363,ida17@fastwebnet.it
Lorenzo,Guidotti,+39 942 47 47 6808,morellatolina@yahoo.com
Ernesto,Franscini,+39 65 13385964,amadeo01@tim.it
Evangelista,Foa,+39 911 53 50 1258,jmoretti@niscoromni.eu
Fabio,Zacchia,+39 88 3837667,grisoniflora@virgilio.it
Adriano,Cimarosa,+39 241 6883732,mircoarmani@barracco.it
Augusto,Fagiani,+39 00 71824959,fabioluna@tin.it
Giuliano,Castellitto,+39 172 0862848,ccomeriato@maglio-mondaini.it
Eleanora,Munari,+39 77 4872864,melaniabellocchio@vodafone.it
Eleanora,Fioravanti,+39 3300 00072401,ggaggini@libero.it
Flavia,Tagliafierro,+39 8601 9304343,lanichini@ortolani-tirabassi.it
Giampaolo,Gatto,+39 8341 68816886,elena80@petrassi.com
Nicoletta,Pagliaro,+39 6690 0664919,elmocrisafulli@innocenti-bonanno.com
Germana,Tamborini,+39 32 2178259,galasso21@vodafone.it
Loretta,Pertile,+39 2081 21755694,halfieri@live.com
Nino,Adinolfi,+39 5445 5826012,orlando33@tasca.com
Antonia,Ravaglioli,+39 98 58888987,bbarberini@nitto.net
Massimo,Rusticucci,+39 13 59922088,giuseppinaromano@tomei-balla.com

